origin,angles,info
"< 28074.6, 12716.1, -3386.7>","< 2.66991, 112.27, 0>"  ,"spawn_52"
"< 28158.6, 13810.3, -3296.08>","< 18.655, 42.0324, 0>"  ,"spawn_53"
"< 28779.4, 10753.7, -3511.6>","< 17.3829, 120.703, 0>"  ,"spawn_54"
"< 27691.6, 11029.4, -3265.03>","< 24.9796, 106.231, 0>"  ,"spawn_55"
"< 27683.6, 10229.7, -3467.15>","< 13.7165, 336.552, 0>"  ,"spawn_56"
"< 29795.9, 10516.7, -3482.11>","< 10.5816, 186.341, 0>"  ,"spawn_57"
"< 31570.6, 8150.99, -3399.97>","< 17.5444, 3.27753, 0>"  ,"spawn_58"
"< 31284.4, 7927.16, -2997.97>","< 17.6394, 38.1914, 0>"  ,"spawn_59"
"< 30397.2, 9229.94, -3510.33>","< 4.34394, 126.46, 0>"  ,"spawn_60"
"< 30880.5, 10053.8, -3201.01>","< 31.8921, 294.753, 0>"  ,"spawn_61"
"< 32466.5, 9830.31, -3791.97>","< 8.63197, 315.916, 0>"  ,"spawn_62"
"< 32833.5, 9482.09, -3595.97>","< 18.2422, 60.3782, 0>"  ,"spawn_63"
"< 32144.1, 8097.73, -3595.95>","< 13.4598, 325.823, 0>"  ,"spawn_64"
"< 32541.5, 6430.33, -3351.93>","< 19.9119, 62.8133, 0>"  ,"spawn_65"
"< 21847.7, 3245.63, -4087.97>","< 14.6155, 32.8161, 0>"  ,"spawn_66"
"< 22355.3, 3448.79, -4201.66>","< 23.3103, 158.382, 0>"  ,"spawn_67"
"< 21981.9, 3270.21, -4087.97>","< 25.1526, 163.932, 0>"  ,"spawn_68"
"< 22165.4, 2182.15, -4175.26>","< 20.2239, 119.556, 0>"  ,"spawn_69"
"< 20577.7, 233.265, -4182.23>","< 21.5961, 120.833, 0>"  ,"spawn_70"
"< 18565.5, 2759.05, -3790.29>","< 7.83339, 288.829, 0>"  ,"spawn_71"
"< 18257.3, 2500.86, -3707.75>","< 10.8263, 98.0302, 0>"  ,"spawn_72"
"< 16663, 4473.66, -4249.94>","< 6.97235, 307.96, 0>"  ,"spawn_73"
"< 13021.3, 344.829, -3933.44>","< 359.362, 285.327, 0>"  ,"spawn_74"
"< 13610.7, -3057.05, -3157.87>","< 13.437, 54.676, 0>"  ,"spawn_75"
"< 14201.5, -2716.43, -3218.96>","< 12.7932, 283.513, 0>"  ,"spawn_76"
"< 15292.9, -3190.77, -3186.77>","< 5.62876, 174.33, 0>"  ,"spawn_77"
"< 14694.1, -5156.65, -2735.59>","< 14.9564, 64.653, 0>"  ,"spawn_78"
"< 18335.2, -5238.27, -2676.67>","< 0.903872, 115.582, 0>"  ,"spawn_79"
"< 18923.4, -5689.62, -2748.67>","< 20.7696, 311.371, 0>"  ,"spawn_80"
"< 21134.2, -8314.51, -4130.61>","< 11.1202, 130.396, 0>"  ,"spawn_81"
"< 20319.8, -9396.82, -4130.61>","< 22.055, 317.074, 0>"  ,"spawn_82"
"< 21121.2, -10771.3, -4134.59>","< 25.7664, 137.807, 0>"  ,"spawn_83"
"< 20725.6, -9208.4, -4220.27>","< 12.5413, 278.33, 0>"  ,"spawn_84"
"< 19347.6, -10443, -4174.57>","< 13.7559, 8.49793, 0>"  ,"spawn_85"
"< 19161.5, -10710, -4174.59>","< 20.9778, 308.144, 0>"  ,"spawn_86"
"< 19715.3, -11976.1, -4041.96>","< 22.3116, 247.186, 0>"  ,"spawn_87"
"< 19303.8, -11891.7, -4041.95>","< 14.4025, 353.018, 0>"  ,"spawn_88"
"< 20878.8, -13204.2, -3767.4>","< 4.69705, 239.776, 0>"  ,"spawn_89"
"< 21310.7, -13130.7, -3779.37>","< 4.08579, 355.167, 0>"  ,"spawn_90"
"< 22731.9, -14917.9, -2868.11>","< 18.4485, 88.0003, 0>"  ,"spawn_91"
"< 22815.6, -14442.8, -2931.53>","< 6.61843, 286.867, 0>"  ,"spawn_92"
"< 21857.2, -17305.8, -3055.47>","< 6.80348, 39.648, 0>"  ,"spawn_93"
"< 22414.5, -18079.7, -3221.51>","< 4.73459, 159.973, 0>"  ,"spawn_94"
"< 20025.2, -19207.2, -3399.49>","< 11.0808, 14.1015, 0>"  ,"spawn_95"
"< 22089.3, -21544.1, -3379.43>","< 9.69786, 44.3827, 0>"  ,"spawn_96"
"< 23387.1, -24315.4, -3396.05>","< 6.67049, 37.3186, 0>"  ,"spawn_97"
"< 23761.6, -25501.2, -3527.87>","< 353.292, 192.626, 0>"  ,"spawn_98"
"< 22376.8, -27286.8, -3506.42>","< 14.5403, 17.8148, 0>"  ,"spawn_99"
"< 23868.9, -28537.2, -3503.95>","< 19.7593, 87.4973, 0>"  ,"spawn_100"
"< 23623.2, -26841.2, -3511.97>","< 16.074, 348.026, 0>"  ,"spawn_101"
"< 23818.8, -28181.7, -3503.97>","< 19.0896, 327.215, 0>"  ,"spawn_102"
"< 24022, -28643.7, -3063.97>","< 7.32893, 105.191, 0>"  ,"spawn_103"
"< 23191.7, -28114.5, -3504>","< 10.3065, 227.169, 0>"  ,"spawn_104"
"< 22728.5, -33795.3, -2347.07>","< 1.22841, 106.026, 0>"  ,"spawn_105"
"< 22478.6, -34133, -2365.08>","< 2.37311, 284.583, 0>"  ,"spawn_106"
"< 24085.4, -36144, -2311.85>","< 18.8396, 115.923, 0>"  ,"spawn_107"
"< 22672.9, -37805.4, -2347.46>","< 16.1306, 129.67, 0>"  ,"spawn_108"
"< 21169.3, -36628.3, -2220.3>","< 13.8681, 300.203, 0>"  ,"spawn_109"
"< 20939.4, -36221.3, -2303.97>","< 358.587, 327.506, 0>"  ,"spawn_110"
"< 21566.4, -38327.4, -2220.33>","< 13.0663, 101.204, 0>"  ,"spawn_111"
"< 20188.4, -40209.6, -2220.3>","< 18.3775, 13.2611, 0>"  ,"spawn_112"
"< 21814.7, -40279.2, -2220.3>","< 18.2146, 163.607, 0>"  ,"spawn_113"
"< -4501.17, -27029.4, -4364.61>","< 23.9965, 269.561, 0>"  ,"spawn_114"
"< -3510.12, -28287.4, -4326.86>","< 18.0235, 291.794, 0>"  ,"spawn_115"
"< -3743.73, -29714.5, -4193.97>","< 14.9638, 148.689, 0>"  ,"spawn_116"
"< -7216.27, -28100.1, -3559.94>","< 8.95345, 6.70787, 0>"  ,"spawn_117"
"< -7279.91, -29557.8, -3561.06>","< 13.4105, 251.522, 0>"  ,"spawn_118"
"< -8401.77, -31856.8, -3576.49>","< 18.3852, 65.6848, 0>"  ,"spawn_119"
"< -8891.14, -31376.3, -3707.7>","< 352.298, 271.03, 0>"  ,"spawn_120"
"< -8224.8, -33215.9, -3337.14>","< 21.848, 198.665, 0>"  ,"spawn_121"
"< -10972.8, -28487.5, -3374.79>","< 0.888949, 176.452, 0>"  ,"spawn_122"
"< -13482.3, -26482, -2701.61>","< 17.7839, 354.94, 0>"  ,"spawn_123"
"< -11958.8, -22204.5, -3535.95>","< 8.18617, 95.1982, 0>"  ,"spawn_124"
"< -10999.9, -20685.7, -3440.1>","< 7.12081, 289.102, 0>"  ,"spawn_125"
"< -11004.9, -21050.5, -3440.09>","< 9.35303, 26.9113, 0>"  ,"spawn_126"
"< -10432.7, -20193.1, -3448.1>","< 8.87861, 261.858, 0>"  ,"spawn_127"
"< -9558.34, -15669.8, -2777.15>","< 9.45284, 211.286, 0>"  ,"spawn_128"
"< -15822.8, -15587.1, -2480.16>","< 11.692, 333.593, 0>"  ,"spawn_129"
"< -20516.3, -14681.8, -3280.61>","< 14.534, 184.848, 0>"  ,"spawn_130"
"< -21794.7, -16109.9, -3479.97>","< 15.3555, 62.7968, 0>"  ,"spawn_131"
"< -22041.5, -16249.7, -3221.93>","< 11.0878, 178.474, 0>"  ,"spawn_132"
"< -23003.3, -15540.3, -3221.95>","< 14.7429, 10.1127, 0>"  ,"spawn_133"
"< -25138.4, -14107.6, -3190.75>","< 9.95457, 140.311, 0>"  ,"spawn_134"
"< -26506.6, -12734.7, -3412.82>","< 357.894, 317.573, 0>"  ,"spawn_135"
"< -26181.3, -19863.4, -4359.97>","< 9.07022, 22.7958, 0>"  ,"spawn_136"
"< -25101.7, -19516.8, -4151.95>","< 24.4874, 237.453, 0>"  ,"spawn_137"
"< -23503.6, -20713.8, -4378.96>","< 16.7466, 129.166, 0>"  ,"spawn_138"
"< -23041.5, -20406.1, -4080.12>","< 13.7548, 290.678, 0>"  ,"spawn_139"
"< -23073.4, -20746.7, -4080.12>","< 15.0453, 58.4358, 0>"  ,"spawn_140"
"< -23200.7, -20233.4, -4316.26>","< 16.0821, 351.549, 0>"  ,"spawn_141"
"< -20296.7, -20641.2, -3195.65>","< 346.897, 212.071, 0>"  ,"spawn_142"
"< -20234.6, -20660.3, -4312.12>","< 8.75109, 339.517, 0>"  ,"spawn_143"
"< -18748.3, -23148.2, -4312.12>","< 11.1111, 220.287, 0>"  ,"spawn_144"
"< -21278.7, -22994.5, -4124.12>","< 16.953, 69.4282, 0>"  ,"spawn_145"
"< -20117.7, -10267.4, -3055.61>","< 352.978, 191.626, 0>"  ,"spawn_146"
"< -22219.9, -8907.28, -2751.52>","< 4.3186, 327.223, 0>"  ,"spawn_147"
"< -23328.9, -6759.23, -3003.34>","< 14.3426, 116.016, 0>"  ,"spawn_148"
"< -25792.7, -6037.52, -2930.67>","< 13.0077, 337.019, 0>"  ,"spawn_149"
"< -26676.6, -5503.65, -2828>","< 4.78191, 171.96, 0>"  ,"spawn_150"
"< -29015.3, -5024.46, -2899.06>","< 13.0762, 328.574, 0>"  ,"spawn_151"
"< -26113.6, 472.417, -4506.92>","< 355.219, 30.604, 0>"  ,"spawn_152"
"< -22728.7, 144.406, -4090.63>","< 23.9116, 147.102, 0>"  ,"spawn_153"
"< -23893.6, 997.298, -4147.67>","< 16.6303, 40.8184, 0>"  ,"spawn_154"
"< -22745.8, 1572.48, -4051.06>","< 17.9433, 171.72, 0>"  ,"spawn_155"
"< -25423.2, 8538.62, -3160.95>","< 12.0152, 169.886, 0>"  ,"spawn_156"
"< -25578.9, 8554.01, -3364.97>","< 9.23107, 294.514, 0>"  ,"spawn_157"
"< -27687.1, 8813.36, -3168.96>","< 17.1477, 142.907, 0>"  ,"spawn_158"
"< -30140.3, 9233.74, -3168.95>","< 13.6171, 340.4, 0>"  ,"spawn_159"
"< -29692.8, 8805.64, -3168.97>","< 6.64382, 108.726, 0>"  ,"spawn_160"
"< -30128.9, 13372.8, -2902.97>","< 9.25026, 264.648, 0>"  ,"spawn_161"
"< -21428.6, 19624.1, -3337.68>","< 5.99835, 185.657, 0>"  ,"spawn_162"
"< -23527.8, 17468.9, -3198.46>","< 3.00443, 84.7966, 0>"  ,"spawn_163"
"< -19027.5, 22762.7, -3351.95>","< 359.853, 82.5277, 0>"  ,"spawn_164"
"< -19906.4, 22766.7, -4095.97>","< 337.052, 310.254, 0>"  ,"spawn_165"
"< -18953.4, 22836.3, -3551.95>","< 7.50845, 79.5492, 0>"  ,"spawn_166"
"< -17302.3, 22854.7, -3999.96>","< 20.1718, 211.436, 0>"  ,"spawn_167"
"< -17321.5, 22955.5, -3863.95>","< 21.0941, 269.575, 0>"  ,"spawn_168"
"< -17482.9, 22805.4, -3999.96>","< 6.15231, 273.757, 0>"  ,"spawn_169"
"< -15909, 23061.6, -4031.95>","< 14.9732, 85.7482, 0>"  ,"spawn_170"
"< -17137.1, 24942.1, -4032.96>","< 22.5702, 312.263, 0>"  ,"spawn_171"
"< -15444.7, 28599.1, -4047.95>","< 10.0604, 182.051, 0>"  ,"spawn_172"
"< -18238.9, 27629.7, -3971.95>","< 11.7392, 358.751, 0>"  ,"spawn_173"
"< -16695.1, 31047.7, -4027.95>","< 14.8292, 234.99, 0>"  ,"spawn_174"
"< -17184, 30180.1, -3723.96>","< 14.5775, 121.298, 0>"  ,"spawn_175"
"< -12950.1, 32788.9, -3863.97>","< 13.9167, 75.0665, 0>"  ,"spawn_176"
"< -11909.6, 32536, -4032.21>","< 12.2842, 260.209, 0>"  ,"spawn_177"
"< -9712.07, 30376.2, -4031.96>","< 14.2724, 41.057, 0>"  ,"spawn_178"
"< -8783.95, 29218.8, -3983.12>","< 8.2476, 135.959, 0>"  ,"spawn_179"
"< -7519.65, 25739.1, -4031.96>","< 14.0663, 24.1073, 0>"  ,"spawn_180"
"< -5420.66, 28011.8, -3525.12>","< 10.8577, 264.683, 0>"  ,"spawn_181"
"< -1403.24, 23038.6, -3123.85>","< 10.1116, 192.385, 0>"  ,"spawn_182"
"< -2199.61, 20865.7, -2900.88>","< 355.034, 64.9603, 0>"  ,"spawn_183"
"< -508.828, 20732.3, -2976.22>","< 20.7436, 313.555, 0>"  ,"spawn_184"
"< 306.981, 18381.8, -2959.95>","< 16.7976, 75.3041, 0>"  ,"spawn_185"
"< 10.2475, 18458, -2940.66>","< 15.7109, 78.87, 0>"  ,"spawn_186"
"< -173.635, 16697.7, -3221.65>","< 3.44695, 353.303, 0>"  ,"spawn_187"
"< 3362.17, 17237, -3079.88>","< 19.1158, 16.1087, 0>"  ,"spawn_188"
"< 7969.73, 17135.2, -3130.16>","< 6.20686, 150.981, 0>"  ,"spawn_189"
"< 7236.24, 18918.9, -3578.95>","< 355.121, 307.677, 0>"  ,"spawn_190"
"< 8871.26, 15661, -3165.57>","< 5.96592, 118.86, 0>"  ,"spawn_191"
"< 17927.9, 16667.6, -3513.72>","< 8.94171, 120.924, 0>"  ,"spawn_192"
"< 15759.1, 19096, -4302.16>","< 356.71, 280.979, 0>"  ,"spawn_193"
"< 14168.4, 21814.1, -4157.55>","< 10.4526, 191.38, 0>"  ,"spawn_194"
"< 11095.3, 20987.1, -4957.52>","< 358.733, 44.0594, 0>"  ,"spawn_195"
"< 4184.65, 25860.1, -4489.9>","< 354.599, 175.725, 0>"  ,"spawn_196"
"< 1503.7, 25630.8, -3838.22>","< 11.9536, 347.548, 0>"  ,"spawn_197"
vector,vector,string
