origin,angles,info
"< 9573.5, 5786.88, -3695.97>","< 4.64636, 253.453, 0>"  ,"frageast-ttv-team4"
"< 8924.22, 5435.4, -4327.97>","< 342.714, 340.858, 0>"  ,"frageast-ttv-team5"
"< 10453.1, 3941.76, -4299.97>","< 0.16149, 211.853, 0>"  ,"fragsouth-team1"
"< 10033.6, 3731.05, -4155.97>","< 3.38644, 48.1931, 0>"  ,"fragsouth-team2"
"< 10311.6, 3720.51, -4011.97>","< 4.99766, 66.8757, 0>"  ,"fragsouth-team3"
"< 8751.82, 3336.6, -4299.97>","< 3.88148, 339.233, 0>"  ,"fragsouth-team4"
"< 8651.96, 2917.18, -3971.97>","< 5.33106, 37.7659, 0>"  ," "fragsouth-team5""
"< 13924.4, 5511.7, -4295.94>","< 3.95864, 142.319, 0>"  ,"frageast-edge-team1"
"< 14082.6, 6606.91, -4295.97>","< 359.957, 243.331, 0>"  ,"frageast-edge-team2"
"< 13493, 5467.78, -3967.97>","< 4.08417, 31.0389, 0>"  ," "frageast-edge-team3""
"< 13741.7, 6926.45, -4125.33>","< 3.18758, 236.211, 0>"  ,"frageast-edge-team4"
"< 12239.1, 6294.86, -4351.97>","< 354.101, 359.828, 0>"  ,"frageast-edge-team5"
"< 26891, 15864.2, -2964.06>","< 4.12527, 276.073, 0>"  ,"overlook-north-team1"
"< 26224.4, 13570.5, -3129.8>","< 4.27453, 43.2642, 0>"  ,"overlook-north-team2"
"< 28076.4, 13794.7, -3096.01>","< 2.33618, 92.0206, 0>"  ,"overlook-north-team3""
"< 28313.3, 13122.5, -3306.22>","< 1.34152, 92.0878, 0>"  ,"overlook-north-team4"
"< 25686.8, 14523.8, -3150.86>","< 356.465, 344.811, 0>"  ,"overlook-north-team5"
"< 23444.1, -33351.4, -2351.03>","< 0.891239, 189.936, 0>"  ,"dome-north-team1"
"< 22826.9, -35873.9, -2314.25>","< 355.468, 112.528, 0>"  ,"dome-north-team2"
"< 21304.4, -32409.8, -2400.96>","< 357.171, 278.293, 0>"  ,"dome-north-team3"
"< 20300.6, -34299.1, -2284.58>","< 355.323, 355.038, 0>"  ,"dome-north-team4"
"< 23708.7, -35768.1, -2236.99>","< 2.65623, 122.137, 0>"  ,"dome-north-team5"
"< -3172.05, 19156.5, -2710.9>","< 3.078, 320.561, 0>"  ,"nonamenorthoffragment-team1"
"< -3341.37, 18943.7, -2822.89>","< 1.73399, 350.003, 0>"  ,"nonamenorthoffragment-team2"
"< 41.3581, 18575.3, -2949.96>","< 359.623, 148.601, 0>"  ,"nonamenorthoffragment-team3"
"< 556.667, 20546.3, -3080.85>","< 351.081, 176.846, 0>"  ,"nonamenorthoffragment-team4"
"< -3409.55, 21063, -2889.42>","< 3.10085, 292.55, 0>"  ,"nonamenorthoffragment-team5"
"< 12415.1, 20006.6, -3955.5>","< 356.921, 66.1928, 0>"  ,"epi-team1""
"< 12366.6, 20104.9, -5071.97>","< 0.0453186, 66.4314, 0>"  ,"epi-team2"
"< 11314.3, 20389.7, -5023.94>","< 0.824844, 6.43867, 0>"  ,"epi-team3"
"< 16031.5, 22254.7, -3290.07>","< 7.7988, 192.199, 0>"  ,"epi-team4"
"< 14812.1, 23566.8, -3384.04>","< 5.08444, 251.282, 0>"  ,"epi-team5"
"< -5487.35, -33676.1, -3337.12>","< 1.44835, 99.73, 0>"  ,"tree-corner-team1"
"< -7063.39, -33508.1, -3534.55>","< 351.87, 78.1888, 0>"  ,"tree-corner-team2"
"< -8660.39, -32754.6, -3474.33>","< 358.163, 5.36801, 0>"  ,"tree-corner-team3"
"< -6295.2, -30815.7, -3449.94>","< 358.665, 260.903, 0>"  ,"tree-corner-team4"
"< -8690.58, -31527.5, -3632.42>","< 358.773, 304.929, 0>"  ,"tree-corner-team5"
"< -10406.8, -26789.6, -2903.79>","< 2.44704, 335.113, 0>"  ,"tree-rv-team1"
"< -10328.8, -27091.4, -3651.07>","< 356.747, 8.41876, 0>"  ,"tree-rv-team2"
"< -7368.22, -29206.5, -3558.03>","< 357.254, 118.152, 0>"  ,"tree-rv-team3"
"< -6306.74, -26315.1, -4213.75>","< 353.368, 200.293, 0>"  ,"tree-rv-team4"
"< -8083.79, -24541.9, -3964.65>","< 357.411, 279.296, 0>"  ,"tree-rv-team5"
"< -3605.91, -29571.7, -4194.09>","< 1.6783, 99.9438, 0>"  ,"tree-north-team1"
"< -3650.32, -28132, -4326.77>","< 3.99069, 56.1104, 0>"  ,"tree-north-team2"
"< -6977.9, -28063.7, -3559.94>","< 6.75954, 6.06423, 0>"  ,"tree-north-team3"
"< -5415.86, -25825.8, -4369.16>","< 3.95875, 302.908, 0>"  ,"tree-north-team4"
"< -4346.32, -27046.1, -4364.6>","< 358.609, 183.291, 0>"  ,"tree-north-team5"
"< -23575, -26629.1, -4248.12>","< 4.98421, 154.463, 0>"  ,"thermal-south-team1"
"< -26128.1, -26079.5, -4601.19>","< 1.11857, 269.248, 0>"  ,"thermal-south-team2"
"< -27903.6, -26502.5, -4579.97>","< 2.76984, 50.358, 0>"  ,"thermal-south-team3"
"< -28001.7, -24958.9, -4474.19>","< 5.03983, 317.02, 0>"  ,"thermal-south-team4"
"< -25207.9, -24617.6, -4612>","< 5.27728, 254.492, 0>"  ,"thermal-south-team5"
"< -20615, -14825.1, -3280.61>","< 357.229, 211.368, 0>"  ,"thermal-north-team1"
"< -22979.1, -15527.6, -3221.97>","< 7.5031, 357.421, 0>"  ,"thermal-north-team2"
"< -22131.6, -16291.8, -3421.93>","< 358.112, 173.458, 0>"  ,"thermal-north-team3"
"< -22137.4, -16369.5, -3221.93>","< 3.0974, 93.2432, 0>"  ,"thermal-north-team4"
"< -22117.8, -16719.5, -3505.83>","< 2.86875, 31.6792, 0>"  ,"thermal-north-team5"
"< -25689, -21730.1, -4509.39>","< 357.483, 42.7676, 0>"  ,"thermal-west-team1"
"< -23478.6, -20530.7, -4080.12>","< 1.08556, 167.486, 0>"  ,"thermal-west-team2"
"< -26182.9, -19169.8, -4359.97>","< 358.285, 322.599, 0>"  ,"thermal-west-team3"
"< -25090, -19522.7, -4351.97>","< 359.519, 235.124, 0>"  ,"thermal-west-team4"
"< -25098.4, -19596.6, -4151.97>","< 2.088, 258.208, 0>"  ,"thermal-west-team5"
"< -10459.6, -21396.8, -3448.11>","< 1.40221, 139.804, 0>"  ,"thermal-east-team1"
"< -10961.8, -20067.8, -3416.11>","< 3.09133, 281.263, 0>"  ,"thermal-east-team2"
"< -11877.9, -21292.5, -3444.11>","< 1.74065, 111.21, 0>"  ,"thermal-east-team3"
"< -14569.9, -20247.5, -3536.61>","< 1.54639, 355.898, 0>"  ,"thermal-east-team4"
"< -11907.7, -21307.1, -3244.11>","< 357.507, 169.465, 0>"  ,"thermal-east-team5"
"< -26499.6, 5225.79, -3104.97>","< 4.86864, 94.6209, 0>"  ,"lava-south-team1"
"< -28220.3, 5176.44, -3055.43>","< 359.653, 16.8773, 0>"  ,"lava-south-team2"
"< -24727.1, 5036.25, -3358.32>","< 355.291, 148.111, 0>"  ,"lava-south-team3"
"< -24788.7, 7170.42, -3160.02>","< 12.1146, 227.064, 0>"  ,"lava-south-team4"
"< -26794.7, 5071.54, -3168.97>","< 3.79868, 13.0696, 0>"  ,"lava-south-team5"
"< -30472.9, 13740.4, -3168.97>","< 357.141, 308.838, 0>"  ,"lava-west-team1"
"< -30190.7, 13048.5, -2902.97>","< 3.08014, 9.91263, 0>"  ,"lava-west-team2"
"< -28547.3, 13081.9, -3361.64>","< 2.03441, 155.007, 0>"  ,"lava-west-team3"
"< -28733.3, 12942.8, -3168.97>","< 358.888, 207.794, 0>"  ,"lava-west-team4"
"< -30464.2, 13049.5, -3364.97>","< 0.150247, 37.593, 0>"  ,"lava-west-team5"
"< -8763.07, 28973.4, -3985.97>","< 357.079, 133.065, 0>"  ,"sky-east-building-team1"
"< -9293.76, 29967.3, -3705.97>","< 0.122218, 265.986, 0>"  ,"sky-east-building-team2"
"< -9226.73, 29328.7, -3497.97>","< 4.17958, 8.38416, 0>"  ,"sky-east-building-team3"
"< -9041.03, 29658.8, -3297.97>","< 4.2201, 291.89, 0>"  ,"sky-east-building-team4"
"< -7858.9, 29576.7, -4028.63>","< 353.503, 215.264, 0>"  ,"sky-east-building-team5"
"< -14834.2, 19285.4, -3885.38>","< 357.74, 148.787, 0>"  ,"sky-south-team1"
"< -15434.6, 19923.3, -3903.97>","< 0.455782, 307.757, 0>"  ,"sky-south-team2"
"< -15506.6, 19578, -3575.97>","< 4.33989, 33.4836, 0>"  ," "sky-south-team3""
"< -14966.9, 20919.5, -3599.97>","< 2.10508, 267.07, 0>"  ,"sky-south-team4"
"< -14922.4, 20762.5, -3871.97>","< 5.95469, 337.974, 0>"  ,"sky-south-team5"
"< -19129.4, 25441.9, -3971.97>","< 5.82027, 115.815, 0>"  ,"sky-west-team1"
"< -19759.6, 25757.6, -3571.97>","< 2.58541, 350.921, 0>"  ,"sky-west-team2"
"< -19742.2, 25904.2, -3371.97>","< 3.23398, 318.56, 0>"  ,"sky-west-team3"
"< -17679.5, 24777.7, -3896.97>","< 1.60836, 156.828, 0>"  ,"sky-west-team4"
"< -17722.8, 24461.4, -4031.97>","< 356.223, 136.196, 0>"  ,"sky-west-team5"
"< -12915.8, 27457.4, -2939.97>","< 11.2317, 88.399, 0>"  ,"sky-center-team1"
"< -12908.4, 27517.9, -3590.04>","< 9.20622, 97.543, 0>"  ,"sky-center-team2"
"< -12867.7, 28207.7, -4095.97>","< 357.942, 96.0398, 0>"  ,"sky-center-team3"
"< -13888.6, 29893.1, -4063.2>","< 357.043, 313.519, 0>"  ,"sky-center-team4"
"< -12014.1, 29924.7, -4037.1>","< 1.39223, 225.37, 0>"  ,"sky-center-team5"
"< -14427.2, 34124.3, -4132.03>","< 356.601, 303.738, 0>"  ,"sky-train-team1"
"< -11860.2, 32380.4, -4031.97>","< 1.74861, 150.209, 0>"  ,"sky-train-team2"
"< -12926.4, 32857.8, -3863.97>","< 2.34262, 76.8297, 0>"  ,"sky-train-team3"
"< -13689.3, 31975.6, -3077.96>","< 3.95142, 70.5333, 0>"  ,"sky-train-team4"
"< -15253.8, 31536.4, -4031.97>","< 2.29469, 39.7544, 0>"  ,"sky-train-team5"
"< -18193.6, 28590.4, -3971.97>","< 359.973, 225.916, 0>"  ,"sky-northwest-team1"
"< -17644, 27428.9, -3971.97>","< 0.260292, 172.532, 0>"  ,"sky-northwest-team2"
"< -18629.7, 26402.7, -4039.97>","< 3.42692, 102.004, 0>"  ,"sky-northwest-team3"
"< -20886.2, 30089.4, -3719.28>","< 1.20199, 311.762, 0>"  ,"sky-northwest-team4"
"< -17044.9, 29146.1, -4033.97>","< 1.8127, 212.643, 0>"  ,"sky-northwest-team5"
"< -10568.7, 21539.8, -3920.85>","< 8.34676, 163.065, 0>"  ,"sky-southeast-team1"
"< -10337.9, 22311.8, -3735.97>","< 2.8394, 193.868, 0>"  ,"sky-southeast-team2"
"< -11258, 21701, -3463.97>","< 11.7928, 72.2569, 0>"  ,"sky-southeast-team3"
"< -10852.6, 23071.9, -4031.97>","< 1.2219, 271.373, 0>"  ,"sky-southeast-team4"
"< -10220, 22640.8, -3903.97>","< 357.358, 178.871, 0>"  ,"sky-southeast-team5"
"< -6675.61, 25641.5, -4031.97>","< 1.69803, 141.964, 0>"  ,"sky-supersoutheast-team1"
"< -7387.74, 25320.1, -3831.97>","< 2.66592, 105.999, 0>"  ,"sky-supersoutheast-team2"
"< -7263.54, 26133.6, -3431.97>","< 8.22036, 256.281, 0>"  ,"sky-supersoutheast-team3"
"< -8073.53, 25127.3, -3903.97>","< 3.81422, 14.5271, 0>"  ,"sky-supersoutheast-team4"
"< -7893.44, 25039.3, -3767.97>","< 6.65382, 73.9136, 0>"  ,"sky-supersoutheast-team5"
"< 26382.7, 21491.7, -4486.66>","< 354.149, 308.065, 0>"  ,"overlook-supernorth-team1"
"< 29916.3, 20885, -3982.99>","< 359.265, 213.54, 0>"  ,"   "overlook-supernorth-team2"
"< 26006.1, 18235.2, -4076.27>","< 358.017, 55.1433, 0>"  ,"overlook-supernorth-team3"
"< 27599.8, 17382.2, -3601.29>","< 0.0727093, 110.382, 0>"  ,"overlook-supernorth-team4"
"< 27445.7, 17813.8, -3050.4>","< 15.1795, 110.897, 0>"  ,"overlook-supernorth-team5"
vector,vector,string
